call_id,incident_id,latitude,longitude,reported_type,timestamp,caller,confidence,hash_key
CALL00001,INC0040,13.020679,77.59023,fire,2025-12-10 08:03:11,+918806572720,0.87,13.021_77.59|fire
CALL00002,INC0188,12.961228,77.598851,police,2025-12-10 08:02:14,+916509084454,0.61,12.961_77.599|police
CALL00003,INC0180,13.008364,77.523083,medical,2025-12-10 08:00:27,+916806822084,0.9,13.008_77.523|medical
CALL00004,INC0037,12.951805,77.681116,fire,2025-12-10 08:11:36,+916286424913,0.91,12.952_77.681|fire
CALL00005,INC0196,12.909604,77.619008,police,2025-12-10 08:04:35,+916505051652,0.91,12.91_77.619|police
CALL00006,INC0192,12.971574,77.618571,police,2025-12-10 08:15:18,+919756938129,0.55,12.972_77.619|police
CALL00007,INC0072,12.950322,77.567453,medical,2025-12-10 08:11:54,+919251556431,0.59,12.95_77.567|medical
CALL00008,INC0114,12.990498,77.664238,fire,2025-12-10 08:25:28,+918457123982,0.92,12.99_77.664|fire
CALL00009,INC0081,12.96652,77.571363,fire,2025-12-10 08:37:30,+918095263399,0.64,12.967_77.571|fire
CALL00010,INC0061,13.016865,77.642821,medical,2025-12-10 08:46:40,+917639981786,0.74,13.017_77.643|medical
CALL00011,INC0167,12.994837,77.658066,medical,2025-12-10 08:15:24,+919194029325,0.68,12.995_77.658|medical
CALL00012,INC0161,12.988095,77.685399,fire,2025-12-10 08:47:00,+917288983174,0.64,12.988_77.685|fire
CALL00013,INC0042,13.033762,77.563073,police,2025-12-10 08:42:28,+917746549322,0.82,13.034_77.563|police
CALL00014,INC0085,13.022739,77.698151,medical,2025-12-10 08:34:32,+917309383428,0.57,13.023_77.698|medical
CALL00015,INC0194,13.021366,77.611663,fire,2025-12-10 08:45:45,+919677177592,0.53,13.021_77.612|fire
CALL00016,INC0089,12.926649,77.629856,police,2025-12-10 09:02:24,+916219273936,0.51,12.927_77.63|police
CALL00017,INC0146,13.059969,77.542713,medical,2025-12-10 08:17:17,+919996304485,0.93,13.06_77.543|medical
CALL00018,INC0055,12.936563,77.569948,police,2025-12-10 08:44:06,+916186838754,0.86,12.937_77.57|police
CALL00019,INC0159,13.041185,77.622214,fire,2025-12-10 09:19:29,+917944010259,0.72,13.041_77.622|fire
CALL00020,INC0192,12.971172,77.618221,fire,2025-12-10 08:19:40,+919908660671,0.99,12.971_77.618|fire
CALL00021,INC0134,13.02879,77.587745,police,2025-12-10 09:11:45,+917376855598,0.87,13.029_77.588|police
CALL00022,INC0196,12.910251,77.619469,fire,2025-12-10 08:36:40,+916310548243,0.97,12.91_77.619|fire
CALL00023,INC0145,13.072588,77.681308,fire,2025-12-10 08:22:37,+919633076792,0.67,13.073_77.681|fire
